admission_code,program_name,major_code,major_name,quota,admission_method,subject_combination
7580201_CLC,Kỹ thuật xây dựng (Chương trình đào tạo Kỹ sư chất lượng cao - PFIEV),7580201,Kỹ thuật xây dựng,100,417,"VS1, VS2, VS3"
7580201_QT,Kỹ thuật xây dựng (Chương trình đào tạo Liên kết quốc tế với Đại học Mississippi - Hoa Kỳ),7580201,Kỹ thuật xây dựng,30,100,"A00, A01, C01, D01, D07, X06"
7580201_QT,Kỹ thuật xây dựng (Chương trình đào tạo Liên kết quốc tế với Đại học Mississippi - Hoa Kỳ),7580201,Kỹ thuật xây dựng,30,200,"A00, A01, C01, D01, D07, X06"
7580201_QT,Kỹ thuật xây dựng (Chương trình đào tạo Liên kết quốc tế với Đại học Mississippi - Hoa Kỳ),7580201,Kỹ thuật xây dựng,30,301,TT
7580201_QT,Kỹ thuật xây dựng (Chương trình đào tạo Liên kết quốc tế với Đại học Mississippi - Hoa Kỳ),7580201,Kỹ thuật xây dựng,30,402,"K00, SP1, SP2, SP3, SP4"
7580201_QT,Kỹ thuật xây dựng (Chương trình đào tạo Liên kết quốc tế với Đại học Mississippi - Hoa Kỳ),7580201,Kỹ thuật xây dựng,30,415,
7580201_QT,Kỹ thuật xây dựng (Chương trình đào tạo Liên kết quốc tế với Đại học Mississippi - Hoa Kỳ),7580201,Kỹ thuật xây dựng,30,417,"VS1, VS2, VS3, VS4"
7480101_QT,Khoa học Máy tính (Chương trình đào tạo Liên kết quốc tế với Đại học Mississippi - Hoa Kỳ),7480101,Khoa học Máy tính,30,100,"A00, A01, C01, D01, D07, X06"
7480101_QT,Khoa học Máy tính (Chương trình đào tạo Liên kết quốc tế với Đại học Mississippi - Hoa Kỳ),7480101,Khoa học Máy tính,30,200,"A00, A01, C01, D01, D07, X06"
7480101_QT,Khoa học Máy tính (Chương trình đào tạo Liên kết quốc tế với Đại học Mississippi - Hoa Kỳ),7480101,Khoa học Máy tính,30,301,TT
7480101_QT,Khoa học Máy tính (Chương trình đào tạo Liên kết quốc tế với Đại học Mississippi - Hoa Kỳ),7480101,Khoa học Máy tính,30,402,"K00, SP1, SP2, SP3, SP4"
7480101_QT,Khoa học Máy tính (Chương trình đào tạo Liên kết quốc tế với Đại học Mississippi - Hoa Kỳ),7480101,Khoa học Máy tính,30,415,
